,token_delta,eth_delta,UNI_delta,logIndex,timestamp,event,token_balance,eth_balance,UNI_supply
2163,7834.388539133742,-10.040488999850481,0.0,295.0,2021-05-24 11:46:04,ethPurchase,4829735.241657369,6198.304053757736,175713.34040423308
2164,12745.530858253449,-16.26527789952079,0.0,9.0,2021-05-24 11:47:49,ethPurchase,4842480.772515622,6182.038775858216,175713.34040423308
2165,-899.2636895014234,-1.1480237628968677,-30.64050368491843,184.0,2021-05-24 12:05:06,burn,4841581.508826121,6180.890752095319,175682.69990054815
2166,49998.70616487695,-62.9896404819991,0.0,6.0,2021-05-24 12:06:36,ethPurchase,4891580.214990998,6117.90111161332,175682.69990054815
2167,-11928.142578898129,15.0,0.0,27.0,2021-05-24 12:06:36,tokenPurchase,4879652.0724121,6132.90111161332,175682.69990054815
2168,-1528.9625142396376,1.9280348744263596,0.0,336.0,2021-05-24 12:06:36,tokenPurchase,4878123.10989786,6134.829146487746,175682.69990054815
2169,-1513.714685654662,1.91,0.0,81.0,2021-05-24 12:07:01,tokenPurchase,4876609.395212206,6136.7391464877455,175682.69990054815
2170,-11384.164974100924,14.402594562420358,0.0,368.0,2021-05-24 12:08:41,tokenPurchase,4865225.230238105,6151.141741050166,175682.69990054815
2171,-11320.950304735852,14.389716992,0.0,274.0,2021-05-24 12:09:13,tokenPurchase,4853904.27993337,6165.531458042166,175682.69990054815
2172,-8375.31081241545,10.688951296,0.0,312.0,2021-05-24 12:11:44,tokenPurchase,4845528.969120954,6176.220409338166,175682.69990054815
2173,10177.932636094609,-12.907073506721835,0.0,24.0,2021-05-24 12:16:57,ethPurchase,4855706.901757048,6163.313335831444,175682.69990054815
2174,-2106.1432791038937,-2.673312294565317,-71.55360816970912,84.0,2021-05-24 12:22:04,burn,4853600.758477945,6160.640023536879,175611.14629237843
2175,10312.072502828943,-13.022187022052522,0.0,210.0,2021-05-24 12:27:01,ethPurchase,4863912.830980774,6147.617836514827,175611.14629237843
2176,1181.7605167485797,1.4936558864661236,40.06372890260424,141.0,2021-05-24 12:28:10,mint,4865094.591497523,6149.111492401294,175651.21002128103
2177,9760.183804187638,-12.274574564263306,0.0,112.0,2021-05-24 12:30:22,ethPurchase,4874854.775301711,6136.83691783703,175651.21002128103
2178,12655.641377145765,-15.843078645771868,0.0,314.0,2021-05-24 12:30:28,ethPurchase,4887510.416678856,6120.993839191258,175651.21002128103
2179,9740.156980828355,-12.137614018832352,0.0,168.0,2021-05-24 12:32:55,ethPurchase,4897250.5736596845,6108.856225172426,175651.21002128103
2180,-11334.141182064986,14.2137060296372,0.0,277.0,2021-05-24 12:33:58,tokenPurchase,4885916.4324776195,6123.069931202063,175651.21002128103
2181,34548.62214123746,-42.864533921047205,0.0,232.0,2021-05-24 12:34:53,ethPurchase,4920465.054618857,6080.205397281016,175651.21002128103
2182,21912.80672170615,-26.877028260875,0.0,360.0,2021-05-24 12:40:24,ethPurchase,4942377.861340563,6053.3283690201415,175651.21002128103
2183,-749.1396315276326,-0.917531664131706,-25.0,202.0,2021-05-24 12:46:01,burn,4941628.721709035,6052.41083735601,175626.21002128103
2184,-11797.364540841343,14.527342592,0.0,203.0,2021-05-24 12:46:08,tokenPurchase,4929831.357168194,6066.938179948011,175626.21002128103
2185,-104.99549492722484,-0.1292135837406059,-3.512254279452749,304.0,2021-05-24 12:58:01,burn,4929726.361673267,6066.80896636427,175622.69776700158
2186,-10589.976533231906,13.1,0.0,341.0,2021-05-24 13:10:09,tokenPurchase,4919136.385140034,6079.908966364271,175622.69776700158
2187,-9629.892598277505,11.961496655330548,0.0,130.0,2021-05-24 13:14:57,tokenPurchase,4909506.4925417565,6091.870463019602,175622.69776700158
2188,-12532.325605786004,15.637213239901724,0.0,36.0,2021-05-24 13:17:48,tokenPurchase,4896974.16693597,6107.507676259504,175622.69776700158
2189,-6261.573284000307,7.842963413366903,0.0,288.0,2021-05-24 13:19:11,tokenPurchase,4890712.59365197,6115.350639672871,175622.69776700158
2190,-15583.651701468152,19.60691795,0.0,279.0,2021-05-24 13:20:25,tokenPurchase,4875128.941950502,6134.957557622871,175622.69776700158
2191,-279.4994879308391,-0.3517276191564639,-9.45437900509986,45.0,2021-05-24 13:29:37,burn,4874849.442462571,6134.605830003714,175613.24338799648
2192,12388.207931052064,-15.503514230684084,0.0,10.0,2021-05-24 13:40:12,ethPurchase,4887237.650393623,6119.10231577303,175613.24338799648
2193,15986.160207440178,-19.89065387089221,0.0,9.0,2021-05-24 13:41:44,ethPurchase,4903223.810601063,6099.211661902137,175613.24338799648
2194,11498.686227995184,-14.227255598720868,0.0,11.0,2021-05-24 14:09:59,ethPurchase,4914722.496829058,6084.984406303416,175613.24338799648
2195,9860.043332900592,-12.146933088523273,0.0,295.0,2021-05-24 14:11:00,ethPurchase,4924582.540161959,6072.837473214893,175613.24338799648
2196,1667.5093219896414,-2.049458251058762,0.0,120.0,2021-05-24 14:19:36,ethPurchase,4926250.049483948,6070.788014963834,175613.24338799648
2197,18155.681501117106,-22.225086753225813,0.0,92.0,2021-05-24 14:23:14,ethPurchase,4944405.730985066,6048.562928210608,175613.24338799648
2198,12058.824065096387,-14.671802954656183,0.0,165.0,2021-05-24 14:28:50,ethPurchase,4956464.555050163,6033.891125255952,175613.24338799648
2199,49214.0,-59.146785271659354,0.0,3.0,2021-05-24 14:33:51,ethPurchase,5005678.555050163,5974.744339984292,175613.24338799648
2200,-35723.46545599263,43.075,0.0,8.0,2021-05-24 14:33:51,tokenPurchase,4969955.0895941695,6017.819339984292,175613.24338799648
2201,-6786.6168896633935,8.25350281212563,0.0,46.0,2021-05-24 14:34:16,tokenPurchase,4963168.4727045065,6026.072842796418,175613.24338799648
2202,-14278.822254150122,17.439090688,0.0,283.0,2021-05-24 14:35:06,tokenPurchase,4948889.650450356,6043.511933484418,175613.24338799648
2203,-22172.858524175805,27.28087613280404,0.0,46.0,2021-05-24 14:35:22,tokenPurchase,4926716.791926181,6070.792809617222,175613.24338799648
2204,650000.0,800.9421878517254,21755.49442002713,175.0,2021-05-24 14:41:43,mint,5576716.791926181,6871.734997468947,197368.7378080236
2205,16425.36781902271,-20.11984512053056,0.0,9.0,2021-05-24 15:00:40,ethPurchase,5593142.159745203,6851.615152348416,197368.7378080236
2206,22296.610239527934,-27.12366917741687,0.0,10.0,2021-05-24 15:02:36,ethPurchase,5615438.769984731,6824.491483170999,197368.7378080236
2207,25000.0,-30.15770917528914,0.0,36.0,2021-05-24 15:23:41,ethPurchase,5640438.769984731,6794.3337739957105,197368.7378080236
2208,11832.050483964214,-14.180182338364585,0.0,281.0,2021-05-24 15:31:39,ethPurchase,5652270.820468696,6780.153591657346,197368.7378080236
2209,6653.492572292913,-7.9478930291587835,0.0,148.0,2021-05-24 15:31:48,ethPurchase,5658924.3130409885,6772.205698628187,197368.7378080236
2210,19411.105736672016,-23.081231965832067,0.0,346.0,2021-05-24 16:01:35,ethPurchase,5678335.4187776605,6749.124466662355,197368.7378080236
2211,12587.095274463503,-14.88292607258963,0.0,231.0,2021-05-24 16:10:22,ethPurchase,5690922.514052124,6734.2415405897655,197368.7378080236
2212,-15192.225018980767,18.079781010239756,0.0,236.0,2021-05-24 16:10:22,tokenPurchase,5675730.289033143,6752.321321600005,197368.7378080236
2213,-14795.913397684693,17.7015625,0.0,3.0,2021-05-24 16:14:58,tokenPurchase,5660934.375635458,6770.022884100005,197368.7378080236
2214,-6610.917633372488,7.939187809801226,0.0,246.0,2021-05-24 16:15:49,tokenPurchase,5654323.458002086,6777.962071909807,197368.7378080236
2215,-6601.638739211845,7.9466197728427375,0.0,174.0,2021-05-24 16:16:47,tokenPurchase,5647721.819262874,6785.908691682649,197368.7378080236
2216,-6788.664628655841,8.19117594016576,0.0,221.0,2021-05-24 16:17:09,tokenPurchase,5640933.154634219,6794.099867622815,197368.7378080236
2217,-16788.655922428705,20.34212067000014,0.0,4.0,2021-05-24 16:18:42,tokenPurchase,5624144.49871179,6814.441988292815,197368.7378080236
2218,-17908.982433352154,21.83407071181315,0.0,133.0,2021-05-24 16:23:27,tokenPurchase,5606235.516278438,6836.276059004628,197368.7378080236
2219,12354.33977705168,-14.986831540553434,0.0,9.0,2021-05-24 16:42:14,ethPurchase,5618589.85605549,6821.289227464074,197368.7378080236
